name,latitude,longitude,type,volcano_number
Bokeo Volcanic Plateau,13.75,107.092,Cluster | Volcanic field,275835
Bolshoi Payalpan,55.88,157.78,Shield | Shield(s),300300
Bolshoy Chekchebonay,56.92,159.42,Shield | Shield,300892
Bolshoy Kozyrevsky,55.6,158.52,Shield | Shield,300875
Bongabti,55.83,158.32,Shield | Shield,300878
Bolshoy Ketepana,57.05,158.37,Shield | Shield,300885
Borawli,11.63,41.45,Minor | Lava dome(s),221121
Boring Lava,45.3,-122.5,Cluster | Volcanic field,322800
Bowie Seamount,53.3,-135.65,Minor | Lava dome,331200
Bosavi,-6.58,142.82,Composite | Stratovolcano,253802
Bouillante Chain,16.12,-61.75,Minor | Maar(s),360811
Brabant Island,-64.28,-62.33,Cluster | Volcanic field,390826
Broken Top,44.08,-121.7,Composite | Stratovolcano,322811
Brontona Island,46.721,150.733,Unknown | Unknown,290806
Black Butte,44.4,-121.63,Composite | Stratovolcano,322806
Bundaberg-Boyne Province,-25.58,151.87,Minor | Pyroclastic cone(s),259809
Bruntal Volcanic Field,49.88,17.475,Cluster | Volcanic field,210810
Buffalo Valley,40.35,-117.3,Cluster | Volcanic field,326800
Burfell,65.55,-16.65,Composite | Tuya,373806
Buriram,15.0,103.0,Unknown | Unknown,275814
Burko,-3.3,36.22,Composite | Stratovolcano,222813
Burney Mountain,40.806,-121.628,Minor | Lava dome(s),323807
Bursey,-76.0,-132.67,Shield | Shield(s),390820
"Buena Vista, Cerro",13.25,-88.15,Composite | Stratovolcano,343804
"Cacahuatique, Cerro",13.75,-88.2,Composite | Stratovolcano,343803
Cakrabuana,-7.03,108.13,Composite | Stratovolcano,263806
"Calanterique, Cerro",14.6,-87.87,Minor | Lava cone,343821
Cancajanag,11.07,124.78,Minor | Lava dome(s),272803
Camargo Volcanic Field,27.75,-104.42,Cluster | Pyroclastic cone(s),341807
Canlancang,-6.958,107.95,Unknown | Unknown,263818
"Cantaro, Volcan el",19.72,-103.63,Composite | Stratovolcano,341823
Capital,62.43,-144.12,Shield | Shield,315801
Black Island,-78.22,166.33,Minor | Pyroclastic cone(s),390816
Cappy Mountain,43.31,-121.979,Composite | Stratovolcano,322822
Caquena,-18.07,-69.22,Minor | Lava dome(s),355811
"Caraïbes, Monts",15.97,-61.68,Composite | Stratovolcano,360812
Buduli,56.4,158.7,Shield | Shield,300880
Capur,-24.02,-67.85,Composite | Stratovolcano,355856
Cap-Vert,14.7238,-17.5019,Minor | Volcanic field,225801
Caribou,40.6,-121.15,Cluster | Volcanic field,323813
"Carbets, Pitons de",14.7,-61.12,Composite | Stratovolcano,360815
Carihuairazo,-1.404,-78.75,Composite | Stratovolcano,352821
Casitagua,-0.036,-78.48,Composite | Stratovolcano,352808
Cat Hills,34.83,-106.83,Cluster | Volcanic field,327815
Cañapa,-21.5,-68.12,Composite | Stratovolcano,355825
Central Segment,41.78,-127.109,Cluster | Fissure vent,331033
Central Slovakia,48.403,18.877,Cluster | Volcanic field,210809
Centre Hills,16.759,-62.196,Minor | Lava dome(s),360808
Ceyhan-Osmaniye,37.0,36.083,Cluster | Volcanic field,213061
Cariliao,14.13,120.75,Composite | Stratovolcano,273809
Chachani Volcanic Complex,-16.1792,-71.5292,Cluster | Stratovolcano,354007
Ch'Ilalo,7.92,39.27,Composite | Stratovolcano,221817
Chamorro,20.81,144.704,Unknown | Unknown,284147
Chanthaburi,12.5,102.2,Unknown | Unknown,275815
"Chascon, Cerro",-21.88,-67.9,Minor | Lava dome,355829
Bolaven Plateau,15.142,106.45,Cluster | Fissure vent(s),275813
Chavycha,56.55,158.65,Shield | Shield(s),300883
Black Butte,40.45,-122.0,Minor | Pyroclastic cone,323816
Cham,12.1,105.6,Unknown | Unknown,275809
Brushy Butte,41.178,-121.445,Shield | Shield,323030
Cheref,19.406,145.468,Composite | Stratovolcano,284151
Cheb Basin,49.97,12.392,Cluster | Volcanic field,210811
Chew Bahir,4.47,36.87,Minor | Pyroclastic cone(s),221822
Chifeng,42.25,118.5,Unknown | Unknown,305845
Brown Mountain,42.365,-122.27,Shield | Shield,322835
Chilcotin Group-South,50.15,-119.62,Cluster | Volcanic field,320813
Chiltazon,0.687,-78.021,Composite | Stratovolcano,352805
Chilung Group,25.08,121.85,Minor | Lava dome(s),281802
China Hat-East Butte,43.681,-121.034,Minor | Lava dome(s),322823
Chiquimula Volcanic Field,14.83,-89.55,Cluster | Volcanic field,342200
Calpi,-1.634,-78.728,Minor | Tuff cone(s),352823
Chalupas,-0.804,-78.3,Caldera | Caldera,352826
"Chi, Tarso Emi",21.22,18.52,Cluster | Volcanic field,225818
Chott Tigri Volcanic Field,32.92,-1.85,Cluster | Volcanic field,225817
Chojagahara,34.271,131.669,Minor | Pyroclastic cone,283804
"Chopo, Cerro",10.472,-85.07,Minor | Pyroclastic cone,345800
Chubetsu,43.589,142.898,Composite | Stratovolcano,285817
Chudleigh Volcanic Province,-19.73,144.2,Cluster | Shield(s),259806
Chup,11.9,105.82,Unknown | Unknown,275810
Cibugis,-6.5,106.57,Composite | Stratovolcano,263811
Cinder Butte,40.87,-121.49,Shield | Shield,323806
"Ciguatepe, Cerro el",12.5351,-86.1439,Composite | Stratovolcano,344132
Cikuray,-7.322,107.86,Composite | Stratovolcano,263816
Clayton Valley,37.82,-117.62,Minor | Pyroclastic cone,326804
Cochiquito Volcanic Group,-36.739,-69.834,Composite | Stratovolcano(es),357071
Cole,-33.411,179.953,Composite | Stratovolcano,241202
Cofrentes,39.235,-1.064,Cluster | Volcanic field,210814
"Coco, Isla del",5.53,-87.082,Shield | Shield,345811
"Colorado, Cerro",-26.18,-68.37,Composite | Stratovolcano,355869
"Colorado, Lomas de",10.658,-83.721,Shield | Shield(s),345807
"Cariquima, Cerro",-19.55,-68.68,Composite | Stratovolcano,355818
"Columbretes, Islas",39.896,0.686,Cluster | Volcanic field,210816
Cima Lava Field,35.27,-115.75,Cluster | Volcanic field,323825
Conchagua,13.275,-87.845,Composite | Stratovolcano,343110
Cone-Culasi,13.92,123.02,Cluster | Volcanic field,273803
Copa-Ocana,-20.643,-68.439,Composite | Stratovolcano(es),355822
Conchaguita,13.229,-87.767,Composite | Stratovolcano,343120
Copco Lake,41.97,-122.33,Minor | Pyroclastic cone(s),323800
Chalpatan,0.711,-77.784,Caldera | Caldera,352804
Coso Volcanic Field,36.03,-117.82,Cluster | Lava dome(s),323180
Cotacachi,0.364,-78.351,Composite | Stratovolcano,352802
Cowhorn Mountain,43.4,-122.054,Shield | Shield(s),322821
Crary Group,-76.767,-117.717,Cluster | Shield(s),390823
Cherny,56.82,159.67,Composite | Stratovolcano,300460
Crater Mountain,-6.581,145.091,Composite | Stratovolcano,253001
Crater Flat,36.77,-116.55,Cluster | Volcanic field,326805
Crown Island,-5.117,146.952,Composite | Stratovolcano,251803
Cuernos del Diablo,-41.363,-72.005,Composite | Stratovolcano,358021
Cuernos de Negros,9.25,123.17,Composite | Complex,272010
Culpepper,1.62,-92.0,Shield | Shield,353800
Cupaello,42.43,12.93,Minor | Pyroclastic cone,211806
Cultus Mountain,43.819,-121.871,Shield | Shield,322815
Cupit Mary Mountain,43.731,-122.11,Shield | Shield,322817
Cusin,0.127,-78.154,Composite | Stratovolcano,352803
Curutu,-23.17,-67.07,Composite | Stratovolcano,355845
Cutanga,1.875,-76.525,Caldera | Unknown,351809
Dacht-i-Navar Group,33.95,67.92,Minor | Lava dome(s),232060
Cuxliquel,14.889,-91.398,Minor | Lava dome(s),342801
Chilcotin Group-North,51.45,-122.33,Cluster | Volcanic field,320810
Dagit-Dagitan,13.53,121.078,Composite | Stratovolcano,273805
Dainichigatake,35.998,136.841,Composite | Stratovolcano,283831
Daikonjima,35.493,133.174,Minor | Pyroclastic cone,283809
Dainichiyama,36.15,136.5,Composite | Stratovolcano,283835
Daira-Komagatake,40.41,140.255,Composite | Stratovolcano,283897
Daisen,35.368,133.549,Composite | Stratovolcano,283811
Daito,38.299,140.527,Composite | Stratovolcano,283875
Dalaha'ale,12.274,42.044,Composite | Stratovolcano,221810
Dalainuoer,44.0,115.5,Cluster | Pyroclastic cone(s),305806
Darai Hills,-6.8,143.08,Cluster | Volcanic field,253803
Darlac Volcanic Field,12.88,108.2,Cluster | Cone(s),275806
Dark Mountain,58.52,-129.6,Cluster | Volcanic field,320805
Chericha,6.712,38.085,Composite | Stratovolcano,221300
Daruma,34.952,138.843,Composite | Stratovolcano,283817
Data Gabalti,12.197,42.135,Composite | Stratovolcano,221811
Datong-Fengzen,40.0,113.28,Cluster | Volcanic field,305803
"Daun, Bukit",-3.38,102.37,Composite | Stratovolcano(es),261210
Dawa Ale-Quarry,12.75,41.0,Composite | Stratovolcano,221804
Ded i Baba,51.3,156.58,Shield | Shield,300802
Defiance,45.649,-121.723,Shield | Shield,322801
Dehaj-Meduk,30.33,55.5,Cluster | Volcanic field,232807
Corvo,39.699,-31.111,Composite | Stratovolcano,382002
Deslinde,-22.27,-67.97,Composite | Stratovolcano,355833
Coronado,29.089,-113.515,Composite | Stratovolcano,341005
Derinkuyu Volcanic Complex,38.35,34.5567,Cluster | Lava dome,213003
Devils Desk,58.474,-154.306,Composite | Stratovolcano,312805
Dgida Basin,50.52,103.25,Cluster | Pyroclastic cone(s),302800
Didolli,12.7,41.58,Caldera | Caldera,221801
Diamond Peak,43.521,-122.148,Shield | Shield,322826
Discovery,-78.374,165.015,Composite | Stratovolcano,590835
Dilo-Dukana Volcanic Field,4.063,37.488,Cluster | Volcanic field,221335
Doma Peaks,-5.9,143.15,Composite | Stratovolcano,253000
Domuyo,-36.638,-70.432,Composite | Stratovolcano,357067
Diogo,20.7085,121.9297,Composite | Compound,274070
Dos Hermanos,18.75,-70.92,Cluster | Volcanic field,360803
Dorobu,36.898,139.579,Caldera | Caldera,283898
Double Glacier,60.68,-152.62,Minor | Lava dome(s),313800
Duau,-6.92,144.58,Composite | Stratovolcano,253812
Duguna,6.95,38.07,Composite | Stratovolcano,221819
Drum,62.12,-144.63,Composite | Stratovolcano,315803
Durika,9.374,-83.302,Minor | Lava dome(s),345810
Dvukhyurtochny,56.82,159.88,Shield | Shield,300894
Dzau,42.404,44.004,Cluster | Fissure vent,214808
Eagle Lake Field,40.63,-120.83,Cluster | Fissure vent(s),323090
East Eifel Volcanic Field,50.4,7.325,Cluster | Maar(s),210812
East Mata,-15.102,-173.677,Composite | Compound,243131
Corregidor,14.4,120.58,Caldera | Caldera,273810
East Molokai,21.12,-156.87,Shield | Shield,332805
Dunhua,43.163,127.939,Unknown | Unknown,305852
Ditmara,53.87,159.53,Composite | Stratovolcano,300841
East Neh,31.333,60.126,Minor | Unknown,232812
East Tanna,-19.42,169.45,Composite | Stratovolcano,257809
Eboshi,36.43,138.39,Composite | Stratovolcano,283847
Copiapo,-27.3,-69.13,Composite | Stratovolcano,355140
East Tuva Volcanic Field,52.433,98.303,Cluster | Volcanic field,302070
Eboshi-Washigatake,35.937,136.974,Composite | Stratovolcano,283829
Dittmar,40.453,-121.347,Composite | Stratovolcano,323817
Eggella,56.57,158.52,Shield | Shield,300420
Egrikuyu Monogenetic Field,37.892,34.1113,Cluster | Volcanic field,213005
Endut,-6.62,106.37,Composite | Stratovolcano,263800
Egersuwa,12.45,42.166,Minor | Lava dome(s),221812
Eifuku,21.409,144.161,Composite | Stratovolcano,284145
Eríksjokull,64.77,-20.4,Composite | Tuya,371807
Esan Maruyama,41.849,141.097,Composite | Stratovolcano,285803
"Escondido, El",5.514,-75.043,Minor | Lava dome,351002
Esteli,13.17,-86.4,Cluster | Fissure vent(s),344131
Espenberg,66.35,-164.33,Cluster | Volcanic field,314806
Etopan,55.97,157.63,Shield | Shield,300871
Corazon,-0.528,-78.658,Composite | Stratovolcano,352815
Ela,12.519,41.19,Composite | Stratovolcano,221807
Fedotych,57.13,160.4,Shield | Shield,300510
Etrusk,39.032,43.66,Composite | Stratovolcano,213023
Fanjiatung Group,43.75,125.17,Minor | Cone(s),305854
Favenc,-6.97,144.68,Composite | Stratovolcano,253813
Feinga Seamount,-20.154,-175.163,Composite | Complex,243055
Fatu Hiva,-10.47,-138.65,Shield | Shield,333801
Feni,-4.0815,153.6193,Composite | Stratovolcano,254020
Escala,-21.6,-66.88,Minor | Lava dome,355827
Finini,11.98,41.35,Composite | Stratovolcano,221809
"Firura, Nevados",-15.23,-72.63,Composite | Stratovolcano(es),354802
Filicudi,38.58,14.55,Composite | Stratovolcano(es),211817
Fjallgardar Ridge,65.5,-15.67,Cluster | Fissure vent(s),373807
Floreana,-1.3,-90.45,Shield | Shield,353805
Fort Rock Volcanic Field,43.392,-121.142,Cluster | Maar(s),322825
Four Craters Lava Field,43.361,-120.669,Cluster | Volcanic field,322140
Fox,-18.85,145.8,Minor | Pyroclastic cone,259805
Franklin Island,-76.17,168.38,Shield | Shield,390844
Foundland,15.27,-61.28,Composite | Stratovolcano,360814
Fuji Mountain,43.659,-122.103,Shield | Shield(s),322818
"Flores, Los",22.58,-99.38,Cluster | Volcanic field,341837
"Ernici, Monti",41.58,13.33,Cluster | Volcanic field,211810
Fumarole Butte,39.616,-112.803,Shield | Shield,327803
Futago,33.58,131.604,Minor | Lava dome(s),282816
Funagata,38.453,140.623,Composite | Stratovolcano(es),283876
Futamata,37.243,139.97,Composite | Stratovolcano,283865
Gad Elu,12.408,41.06,Composite | Stratovolcano,221806
Gademota Caldera,7.88,38.6,Caldera | Caldera,221818
Gaesafjoll,65.775,-16.88,Composite | Tuya,373808
Gaeta Bay Volcanic Field,40.978,13.663,Cluster | Volcanic field,211822
Gajajima,29.904,129.541,Composite | Stratovolcano,282801
"Galan, Cerro",-25.93,-66.92,Caldera | Caldera,355868
Gallego,-9.35,159.73,Cluster | Volcanic field,255062
Gamble,-27.2,-177.41,Composite | Stratovolcano,242042
Gandom Beryan,31.343,57.517,Minor | Unknown,232806
Gankyoji,36.054,136.743,Composite | Stratovolcano,283833
Gaojianshi,17.0,112.5,Unknown | Unknown,275834
Ganto-Kamuro,38.196,140.48,Composite | Stratovolcano(es),283873
Gassan,38.546,140.03,Composite | Stratovolcano,283877
Gate Mountains,12.6,123.997,Unknown | Unknown,273800
Gaussberg,-66.78,89.3,Minor | Cone,390810
"Garu, Morne",13.292,-61.2,Composite | Stratovolcano,360817
Garove,-4.687,149.511,Composite | Stratovolcano,252030
Erkeshan,48.056,126.261,Minor | Pyroclastic cone(s),305809
"Gavilantepeque, Cerro",14.0,-87.18,Shield | Shield,343819
Gede,-5.93,106.07,Unknown | Unknown,263810
Gertrude Creek,58.034,-156.146,Minor | Pyroclastic cone,312804
Gelai,-2.6,36.1,Shield | Shield,222806
Geronimo,32.5,-109.25,Cluster | Volcanic field,329804
Geureudong,4.813,96.82,Composite | Stratovolcano,261809
Geureugoh,5.15,96.67,Cluster | Fissure vent(s),261803
Gharyan Volcanic Field,32.0,13.25,Composite | Stratovolcano(es),225806
Geysir,64.32,-20.3,Composite | Stratovolcano,371803
Gilbert,54.25,-165.65,Composite | Stratovolcano,311803
Gilibanta,-8.42,119.32,Composite | Stratovolcano?,264839
Emperor Range,-5.7,154.95,Caldera | Caldera(s),255800
Giluwe,-6.0432,143.8865,Shield | Shield,253807
Giljanes,-34.775,178.579,Composite | Stratovolcano,241143
Girekol,39.104,43.426,Shield | Shield,213022
Goat Rocks,46.5,-121.4,Composite | Stratovolcano,321801
Golcuk,37.72,30.492,Caldera | Caldera,213801
Golaya,52.263,157.787,Composite | Stratovolcano,300057
Goose Nest,42.788,-122.154,Shield | Shield,322829
Golden Trout Creek,36.358,-118.32,Cluster | Volcanic field,323170
Goosenest,41.722,-122.22,Shield | Shield,323801
Embagai,-2.92,35.83,Caldera | Caldera,222829
Gordon,62.1315,-143.089,Minor | Pyroclastic cone(s),315021
Geodesistov,56.33,158.67,Shield | Shield,300380
Gora Desantnaya,46.192,150.369,Composite | Stratovolcano,290805
Gough Island,-40.32,-9.93,Shield | Shield,386801
Grand Bonhomme,13.22,-61.208,Composite | Stratovolcano,360818
Gran Caldera de Luba,3.3569,8.5089,Caldera | Shield,224002
Feidat el-Mieza,35.843,40.617,Minor | Volcanic field,230801
Hakodateyama,41.757,140.708,Composite | Stratovolcano,285801
Hagen,-5.7465,144.0486,Composite | Stratovolcano(es),253806
Guazapa,13.9,-89.12,Composite | Stratovolcano,343052
Hackamore,41.67,-121.17,Cluster | Volcanic field,323804
"Grande, Cerro",19.62,-97.93,Cluster | Volcanic field,341828
Getsuyo Seamount,29.306,140.471,Composite | Stratovolcano,284087
Guistepeque Volcanic Field,14.5,-89.733,Cluster | Pyroclastic cone(s),342808
Halimun-Talaga,-6.846,106.563,Composite | Stratovolcano,263802
Halimun,-6.72,106.45,Composite | Stratovolcano,263801
Hamiding,1.62,127.82,Composite | Unknown,268800
Hanamagari,36.408,138.649,Composite | Stratovolcano(es),283848
Haneyama,33.228,131.133,Shield | Shield,282814
Halvdan,79.33,13.5,Minor | Explosion crater,377801
"Grande, Cerro",43.45,-112.83,Cluster | Fissure vent(s),324802
Haruj,27.25,17.5,Cluster | Volcanic field,225007
Hanang,-4.43,35.4,Composite | Stratovolcano,222831
Haruman,-7.074,107.943,Minor | Lava dome,263823
Grensdalur,64.02,-21.17,Composite | Stratovolcano,371801
Haungaroa,-32.617,-179.624,Composite | Stratovolcano,241204
Haut Song Be,12.05,107.25,Cluster | Volcanic field,275812
Hautere,-46.572,166.898,Composite | Stratovolcano,241800
Haut Dong Nai,11.617,108.017,Cluster | Volcanic field,275040
"Haylah, Jibal al",18.515,42.051,Minor | Cone,231807
Heibei Plain,38.0,117.5,Unknown | Unknown,305840
Hecar,-23.23,-67.75,Composite | Stratovolcano,355848
Himeshima Volcanic Group,33.718,131.669,Minor | Lava dome(s),282817
Herdubreid,65.18,-16.35,Composite | Tuya,373803
Hinepuia,-26.39,-177.26,Composite | Stratovolcano,242044
Hinetapeka,-28.831,-177.826,Composite | Stratovolcano,242031
Hiva Oa,-9.78,-139.03,Shield | Shield,333800
Hingatungan,10.594,125.101,Composite | Stratovolcano,272805
Hlodufell,64.93,-20.53,Composite | Tuya,371804
Himmat el-Jazira,35.708,39.966,Cluster | Cone(s),230802
Hobitcha Caldera,6.864,37.847,Caldera | Caldera,221293
Hogum Range,56.15,-126.7,Cluster | Volcanic field,320807
Hohi,33.284,131.319,Composite | Stratovolcano(es),282815
Hodakadake,36.286,137.651,Caldera | Caldera,283838
Hokusatsu,31.872,130.608,Minor | Pyroclastic cone,282807
Hotaka,36.802,139.136,Composite | Stratovolcano,283861
Horohoro-Tokushumbetsu,42.631,141.146,Composite | Stratovolcano(es),285813
Hrutfell,64.73,-19.72,Composite | Tuya,371808
Huapinghsu,25.424,121.946,Composite | Stratovolcano,281803
Huambutillo-Rumicola,-13.58,-71.72,Unknown | Unknown,354801
Gemelos-Saladillo,-24.75,-66.17,Minor | Pyroclastic cone(s),355866
Huixian,36.0,115.25,Unknown | Unknown,305835
